timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
327015523,327015063,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327069540,327068999,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327091064,327090479,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327175105,327174518,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327195053,327194528,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327215021,327214497,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327235992,327235256,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327259922,327259375,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327279905,327279372,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327299071,327298526,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327319042,327318463,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327343037,327342539,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327367002,327366495,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327387881,327387367,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327408677,327408185,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327429254,327428746,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327448633,327448096,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327468681,327468141,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327492753,327492200,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327512738,327512178,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327532770,327532200,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327556687,327556189,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327576650,327576167,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327597100,327596598,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327617409,327616665,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327640810,327640297,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327656646,327656124,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327681782,327681217,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327700654,327700156,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327724713,327724236,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327744646,327744143,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327764667,327764165,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327784657,327784136,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327808670,327808145,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327828655,327828155,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327850345,327849757,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327871229,327870465,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327891387,327890648,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327910266,327909691,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327934250,327933708,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327959108,327958568,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
327978394,327977824,0.0,0.0,0.995784,0.0,0.5,0.0,0.0,0.0
327998324,327997748,0.0,0.0,0.958393,0.0,0.5,0.0,0.0,0.0
328022441,328021824,0.0,0.0,0.866566,0.0,0.5,0.0,0.0,0.0
328043186,328042672,0.0,0.0,0.866566,0.0,0.5,0.0,0.0,0.0
328063184,328062665,0.0,0.0,0.751846,0.0,0.5,0.0,0.0,0.0
328083542,328082745,0.0,0.0,0.641434,0.0,0.5,0.0,0.0,0.0
328102322,328101758,0.0,0.0,0.506321,0.0,0.5,0.0,0.0,0.0
328126627,328126108,0.0,0.0,0.334256,0.0,0.5,0.0,0.0,0.0
328146869,328146417,0.0,0.0,0.175295,0.0,0.5,0.0,0.0,0.0
328167260,328166433,0.0,0.0,0.0625602,0.0,0.5,0.0,0.0,0.0
328190824,328190342,0.0,0.0,0.00143939,0.0,0.5,0.0,0.0,0.0
328211258,328210536,0.0,0.0,-0.0117184,0.0,0.5,0.0,0.0,0.0
328230714,328230185,0.0,0.0,-0.00461211,0.0,0.5,0.0,0.0,0.0
328250272,328249752,0.0,0.0,0.00059034,0.0,0.5,0.0,0.0,0.0
328274224,328273714,0.0,0.0,0.00112127,0.0,0.5,0.0,0.0,0.0
328295859,328295362,0.0,0.0,0.000298742,0.0,0.5,0.0,0.0,0.0
328315896,328315374,0.0,0.0,-0.000109169,0.0,0.5,0.0,0.0,0.0
328335901,328335387,0.0,0.0,-0.000109169,0.0,0.5,0.0,0.0,0.0
328356011,328355521,0.0,0.0,-9.88393e-05,0.0,0.5,0.0,0.0,0.0
328379914,328379394,0.0,0.0,-1.51468e-05,0.0,0.5,0.0,0.0,0.0
328399833,328399353,0.0,0.0,1.37571e-05,0.0,0.5,0.0,0.0,0.0
328419885,328419368,0.0,0.0,8.04962e-06,0.0,0.5,0.0,0.0,0.0
328440924,328440404,0.0,0.0,2.80692e-07,0.0,0.5,0.0,0.0,0.0
328463061,328462529,0.0,0.0,-1.47252e-06,0.0,0.5,0.0,0.0,0.0
328480679,328480177,0.0,0.0,-5.991e-07,0.0,0.5,0.0,0.0,0.0
328508654,328508118,0.0,0.0,6.69586e-08,0.0,0.5,0.0,0.0,0.0
328528671,328528128,0.0,0.0,1.42056e-07,0.0,0.5,0.0,0.0,0.0
328549134,328548692,0.0,0.0,3.93821e-08,0.0,0.5,0.0,0.0,0.0
328569307,328568659,0.0,0.0,-1.32641e-08,0.0,0.5,0.0,0.0,0.0
328592712,328592126,0.0,0.0,-1.26131e-08,0.0,0.5,0.0,0.0,0.0
