timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
327015437,0.0,0.0,0.0,0.0
327231138,0.0,0.0,0.0,0.0
327331071,0.0,0.0,0.0,0.0
327432630,0.0,0.0,0.0,0.0
327536497,0.0,0.0,0.0,0.0
327637679,0.0,0.0,0.0,0.0
327736481,0.0,0.0,0.0,0.0
327838823,0.0,0.0,0.0,0.0
327942322,0.0,0.0,0.0,0.0
328043059,0.0,0.0,0.0,0.0
328142515,0.0,0.0,0.0,0.0
328246146,0.0,0.0,0.0,0.0
328347712,0.0,0.0,0.0,0.0
328448650,0.0,0.0,0.0,0.0
328549045,0.0,0.0,0.0,0.0
328650060,0.0,0.0,0.0,0.0
328754971,0.0,0.0,0.0,0.0
328854124,0.0,0.0,0.0,0.0
328954386,0.0,0.0,0.0,0.0
329055932,0.0,0.0,0.0,0.0
329159713,0.0,0.0,0.0,0.0
329259699,0.0,0.0,0.0,0.0
329360382,0.0,0.0,0.0,0.0
329463822,0.0,0.0,0.0,0.0
329565439,0.0,0.0,0.0,0.0
329665309,0.0,0.0,0.0,0.0
329769314,0.0,0.0,0.0,0.0
329869306,0.0,0.0,0.0,0.0
329971427,0.0,0.0,0.0,0.0
330071402,0.0,0.0,0.0,0.0
330174922,0.0,0.0,0.0,0.0
330276610,0.0,0.0,0.0,0.0
330374905,0.0,0.0,0.0,0.0
330476831,0.0,0.0,0.0,0.0
330580522,0.0,0.0,0.0,0.0
330681215,0.0,0.0,0.0,0.0
330780479,0.0,0.0,0.0,0.0
330885794,0.0,0.0,0.0,0.0
330986246,0.0,0.0,0.0,0.0
331086141,0.0,0.0,0.0,0.0
331190178,0.0,0.0,0.0,0.0
331292500,0.0,0.0,0.0,0.0
331392588,0.0,0.0,0.0,0.0
331492638,0.0,0.0,0.0,0.0
331592590,0.0,0.0,0.0,0.0
331694608,0.0,0.0,0.0,0.0
331798070,0.0,0.0,0.0,0.0
331898074,0.0,0.0,0.0,0.0
332002765,0.0,0.0,0.0,0.0
332103910,0.0,0.0,0.0,0.0
332204395,0.0,0.0,0.0,0.0
332304017,0.0,0.0,0.0,0.0
332407806,0.0,0.0,0.0,0.0
332507696,0.0,0.0,0.0,0.0
332609301,0.0,0.0,0.0,0.0
332709306,0.0,0.0,0.0,0.0
332814124,0.0,0.0,0.0,0.0
332913320,0.0,0.0,0.0,0.0
333015672,0.0,0.0,0.0,0.0
333118918,0.0,0.0,0.0,0.0
333219094,0.0,0.0,0.0,0.0
333319352,0.0,0.0,0.0,0.0
333423692,0.0,0.0,0.0,0.0
333524647,0.0,0.0,0.0,0.0
333625267,0.0,0.0,0.0,0.0
333725306,0.0,0.0,0.0,0.0
333829181,0.0,0.0,0.0,0.0
333930186,0.0,0.0,0.0,0.0
334030809,0.0,0.0,0.0,0.0
334130207,0.0,0.0,0.0,0.0
334234149,0.0,0.0,0.0,0.0
334335024,0.0,0.0,0.0,0.0
334436032,0.0,0.0,0.0,0.0
