timestamp,roll,pitch,yaw,thrust
272791985,-0.0957025,-0.0588435,0.00225369,0.0
407514413,0.30131,-1.0396,-0.125907,0.0
407522699,0.302938,-1.03952,-0.126584,0.0
407534290,0.30511,-1.03941,-0.127487,0.0
407546322,0.307025,-1.03931,-0.128284,0.0
407555172,0.308515,-1.03923,-0.128903,0.0
407565596,0.309818,-1.03917,-0.129444,0.0
407575917,0.310815,-1.03911,-0.129859,0.0
407587902,0.310118,-1.03915,-0.129569,0.0
407596775,0.308324,-1.03924,-0.128823,0.0
407608525,0.303724,-1.03948,-0.126911,0.0
407615982,0.299205,-1.03971,-0.125032,0.0
407632761,0.287491,-1.04028,-0.120159,0.0
407639944,0.280711,-1.0406,-0.117337,0.0
407655980,0.265959,-1.04128,-0.111195,0.0
407668331,0.254708,-1.04177,-0.106507,0.0
407676741,0.247342,-1.04208,-0.103437,0.0
407687945,0.236645,-1.04251,-0.0989778,0.0
407700054,0.2265,-1.0429,-0.0947466,0.0
407708106,0.219979,-1.04315,-0.0920258,0.0
407715924,0.213948,-1.04337,-0.0895092,0.0
407731991,0.203262,-1.04374,-0.0850484,0.0
407743989,0.196791,-1.04396,-0.0823467,0.0
407755940,0.192167,-1.04411,-0.0804155,0.0
407766108,0.190204,-1.04417,-0.0795957,0.0
407776374,0.18868,-1.04422,-0.0789591,0.0
407783978,0.188785,-1.04421,-0.0790027,0.0
407800338,0.190971,-1.04414,-0.0799161,0.0
407807993,0.193182,-1.04407,-0.0808393,0.0
407823963,0.199529,-1.04386,-0.0834899,0.0
407832133,0.203416,-1.04373,-0.0851128,0.0
407848086,0.212234,-1.04343,-0.0887937,0.0
407859875,0.219386,-1.0366,-0.0912004,0.0
407871396,0.224236,-1.00619,-0.0904922,0.0
407880370,0.231158,-0.960776,-0.0890904,0.0
407887893,0.235496,-0.931229,-0.0879805,0.0
407904214,0.243297,-0.872419,-0.0851719,0.0
407911942,0.246747,-0.84202,-0.0833773,0.0
407928246,0.252788,-0.782624,-0.0794059,0.0
407940330,0.256879,-0.737945,-0.0760929,0.0
407952032,0.260791,-0.692089,-0.0724591,0.0
407960486,0.263,-0.663212,-0.0700284,0.0
407971995,0.265842,-0.618936,-0.0660648,0.0
407979885,0.267228,-0.591149,-0.0634304,0.0
407995996,0.2684,-0.537738,-0.0579544,0.0
408003888,0.268164,-0.511388,-0.0550656,0.0
408016213,0.266797,-0.473469,-0.0507208,0.0
408027960,0.264181,-0.438546,-0.0465156,0.0
408039933,0.26069,-0.404055,-0.0422865,0.0
