timestamp,nav_state,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],_padding0[5],_padding0[6],previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.disable_mc_yaw_control,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.disable_mc_yaw_control,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.disable_mc_yaw_control,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force
90666734,4,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,45.2203775964,-93.1453969064,0.0,0.0,0.0,0.0,0.0,0.0,275.992,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,1,5,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
630924424,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.377157,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
630939895,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.379352,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
630988367,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.381371,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631036872,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.383387,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631085835,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.385388,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631134897,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.387432,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631185825,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.389399,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631234787,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.391537,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
631282034,3,0,0,0,0,0,0,0,0,45.2203716398,-93.1453866985,0.0,0.0,0.0,0.0,0.0,0.0,277.38,nan,0.0,50.0,0.0,0.0,0.0,0.0,20.0,13.0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,-0.393503,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6,1,2,0,0,0,0,0,0,0,1,0,0,0,45.2223434448,-93.1464004517,0.0,0.0,0.0,0.0,0.0,0.0,352.365,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,0.6,0,2,0,0,0,0,0,0,0,1,0,0
