timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
631634118,-0.702756,0.0144081,-0.406558,0.0,0.920044,-0.335731,0.0761089,-0.187114,0.765358,0.0,1,0,0,0,0,0,0
631653886,-0.703674,0.0168895,-0.40974,0.0,0.919669,-0.335791,0.0778691,-0.188121,0.767449,0.0,1,0,0,0,0,0,0
631673929,-0.704703,0.0194763,-0.408763,0.0,0.919668,-0.336052,0.0789893,-0.187193,0.769326,0.0,1,0,0,0,0,0,0
631713974,-0.707234,0.0247531,-0.410951,0.0,0.919196,-0.336614,0.082016,-0.187198,0.771314,0.0,1,0,0,0,0,0,0
631733981,-0.708587,0.0274469,-0.414104,0.0,0.918752,-0.33684,0.083909,-0.18813,0.77163,0.0,1,0,0,0,0,0,0
631754196,-0.709738,0.03012,-0.413124,0.0,0.918727,-0.337146,0.0850771,-0.187174,0.771768,0.0,1,0,0,0,0,0,0
631774837,-0.711391,0.0329572,-0.416262,0.0,0.918235,-0.337489,0.0870612,-0.188057,0.771783,0.0,1,0,0,0,0,0,0
631794657,-0.712686,0.0357443,-0.415281,0.0,0.918187,-0.337849,0.0882931,-0.18707,0.771762,0.0,1,0,0,0,0,0,0
631814217,-0.713721,0.0385157,-0.415281,0.0,0.918088,-0.338047,0.0896583,-0.186545,0.771664,0.0,1,0,0,0,0,0,0
631836859,-0.715235,0.0415691,-0.417422,0.0,0.917715,-0.338339,0.0915587,-0.186931,0.771364,0.0,1,0,0,0,0,0,0
631856831,-0.71647,0.0444472,-0.416444,0.0,0.917673,-0.338662,0.0928244,-0.185926,0.770999,0.0,1,0,0,0,0,0,0
631874623,-0.717767,0.0472045,-0.419548,0.0,0.917235,-0.338832,0.0947313,-0.18681,0.770726,0.0,1,0,0,0,0,0,0
631894733,-0.719055,0.0501212,-0.418569,0.0,0.917182,-0.339174,0.0960177,-0.185792,0.769984,0.0,1,0,0,0,0,0,0
631914779,-0.720366,0.0530476,-0.421659,0.0,0.916745,-0.339326,0.0980002,-0.186634,0.768896,0.0,1,0,0,0,0,0,0
631934786,-0.721602,0.05594,-0.420679,0.0,0.916697,-0.339645,0.0992687,-0.185617,0.767691,0.0,1,0,0,0,0,0,0
631954994,-0.722777,0.0588525,-0.423755,0.0,0.916281,-0.33973,0.101229,-0.186457,0.766379,0.0,1,0,0,0,0,0,0
631974992,-0.723837,0.0617146,-0.422774,0.0,0.916259,-0.339969,0.102466,-0.18545,0.765158,0.0,1,0,0,0,0,0,0
631995016,-0.724786,0.0645861,-0.425837,0.0,0.915878,-0.339947,0.104383,-0.186298,0.763986,0.0,1,0,0,0,0,0,0
632014676,-0.725545,0.0674321,-0.427903,0.0,0.915621,-0.339888,0.106101,-0.186702,0.763187,0.0,1,0,0,0,0,0,0
632034688,-0.726253,0.070292,-0.427903,0.0,0.915563,-0.339911,0.107469,-0.186158,0.762673,0.0,1,0,0,0,0,0,0
632074732,-0.727667,0.0760075,-0.429955,0.0,0.915253,-0.339842,0.110549,-0.186007,0.762344,0.0,1,0,0,0,0,0,0
632094725,-0.728383,0.0788601,-0.432981,0.0,0.914907,-0.339697,0.112427,-0.186846,0.762463,0.0,1,0,0,0,0,0,0
632116883,-0.72902,0.0818343,-0.431992,0.0,0.91495,-0.339725,0.11367,-0.185828,0.76267,0.0,1,0,0,0,0,0,0
632137280,-0.729682,0.0846878,-0.435005,0.0,0.914612,-0.339549,0.115539,-0.18666,0.762945,0.0,1,0,0,0,0,0,0
632157158,-0.730323,0.0874672,-0.434015,0.0,0.914648,-0.339599,0.116692,-0.185674,0.763231,0.0,1,0,0,0,0,0,0
632175055,-0.730869,0.0901016,-0.437015,0.0,0.914324,-0.339386,0.118448,-0.186542,0.763499,0.0,1,0,0,0,0,0,0
