timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
325971131,325971131,0,0,0,0,0,0,0,0,0,0,0
327077068,327077068,0,0,0,0,0,0,0,0,0,0,0
327932143,327932143,0,0,0,0,0,0,0,0,0,0,0
328927019,328927019,0,0,0,0,0,0,0,0,0,0,0
329911416,329911416,0,0,0,0,0,0,0,0,0,0,0
330996158,330996158,0,0,0,0,0,0,0,0,0,0,0
332087401,332087401,0,0,0,0,0,0,0,0,0,0,0
332958052,332958052,0,0,0,0,0,0,0,0,0,0,0
333970704,333970704,0,0,0,0,0,0,0,0,0,0,0
335065723,335065723,0,0,0,0,0,0,0,0,0,0,0
336133164,336133164,0,0,0,0,0,0,0,0,0,0,0
337029116,337029116,0,0,0,0,0,0,0,0,0,0,0
338191140,338191140,0,0,0,0,0,0,0,0,0,0,0
339068091,339068091,0,0,0,0,0,0,0,0,0,0,0
340157914,340157914,0,0,0,0,0,0,0,0,0,0,0
341175067,341175067,0,0,0,0,0,0,0,0,0,0,0
342121065,342121065,0,0,0,0,0,0,0,0,0,0,0
343210101,343210101,0,0,0,0,0,0,0,0,0,0,0
344225928,344225928,0,0,0,0,0,0,0,0,0,0,0
345172349,345172349,0,0,0,0,0,0,0,0,0,0,0
346187077,346187077,0,0,0,0,0,0,0,0,0,0,0
347273228,347273228,0,0,0,0,0,0,0,0,0,0,0
348222132,348222132,0,0,0,0,0,0,0,0,0,0,0
349312065,349312065,0,0,0,0,0,0,0,0,0,0,0
350401906,350401906,0,0,0,0,0,0,0,0,0,0,0
351233121,351233121,0,0,0,0,0,0,0,0,0,0,0
352284117,352284117,0,0,0,0,0,0,0,0,0,0,0
353453064,353453064,0,0,0,0,0,0,0,0,0,0,0
354325210,354325210,0,0,0,0,0,0,0,0,0,0,0
355414064,355414064,0,0,0,0,0,0,0,0,0,0,0
357353107,357353107,0,0,0,0,0,0,0,0,0,0,0
358392178,358392178,0,0,0,0,0,0,0,0,0,0,0
359478076,359478076,0,0,0,0,0,0,0,0,0,0,0
360424397,360424397,0,0,0,0,0,0,0,0,0,0,0
361422857,361422857,0,0,0,0,0,0,0,0,0,0,0
362390321,362390321,0,0,0,0,0,0,0,0,0,0,0
363482222,363482222,0,0,0,0,0,0,0,0,0,0,0
364523649,364523649,0,0,0,0,0,0,0,0,0,0,0
365438910,365438910,0,0,0,0,0,0,0,0,0,0,0
366433648,366433648,0,0,0,0,0,0,0,0,0,0,0
367620080,367620080,0,0,0,0,0,0,0,0,0,0,0
368489074,368489074,0,0,0,0,0,0,0,0,0,0,0
369583243,369583243,0,0,0,0,0,0,0,0,0,0,0
370674098,370674098,0,0,0,0,0,0,0,0,0,0,0
371546066,371546066,0,0,0,0,0,0,0,0,0,0,0
372634740,372634740,0,0,0,0,0,0,0,0,0,0,0
373657101,373657101,0,0,0,0,0,0,0,0,0,0,0
