timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
327021702,5.16914,0,1,1,0,0
327321684,5.14336,0,1,1,0,0
327621663,5.12402,0,1,1,0,0
327921663,5.15625,0,1,1,0,0
328231663,5.14014,0,1,1,0,0
328531663,5.14336,0,1,1,0,0
328831663,5.08535,0,1,1,0,0
329131663,5.11113,0,1,1,0,0
329431696,5.1627,0,1,1,0,0
329731662,5.15303,0,1,1,0,0
330031663,5.13691,0,1,1,0,0
330331663,5.15947,0,1,1,0,0
330631663,5.15947,0,1,1,0,0
330941671,5.12402,0,1,1,0,0
331241663,5.13691,0,1,1,0,0
331541663,5.12725,0,1,1,0,0
331841663,5.15786,0,1,1,0,0
332141663,5.15142,0,1,1,0,0
332441664,5.13047,0,1,1,0,0
332741663,5.13691,0,1,1,0,0
333041669,5.12725,0,1,1,0,0
333341663,5.11274,0,1,1,0,0
333641663,5.07246,0,1,1,0,0
333941663,5.11113,0,1,1,0,0
334251662,5.10791,0,1,1,0,0
334551663,5.1627,0,1,1,0,0
334851663,5.15303,0,1,1,0,0
335151663,5.11758,0,1,1,0,0
335451662,5.1498,0,1,1,0,0
335751663,5.11113,0,1,1,0,0
336061663,5.10146,0,1,1,0,0
336361663,5.1627,0,1,1,0,0
336661712,5.11758,0,1,1,0,0
336961663,5.13691,0,1,1,0,0
337261662,5.13691,0,1,1,0,0
337561663,5.16592,0,1,1,0,0
337861663,5.13047,0,1,1,0,0
338161663,5.1498,0,1,1,0,0
338471663,5.16914,0,1,1,0,0
338771677,5.14336,0,1,1,0,0
339071663,5.15947,0,1,1,0,0
339371663,5.15947,0,1,1,0,0
339671662,5.13691,0,1,1,0,0
339971669,5.1627,0,1,1,0,0
340281663,5.10146,0,1,1,0,0
340581663,5.17236,0,1,1,0,0
340881687,5.13047,0,1,1,0,0
341181663,5.13047,0,1,1,0,0
341481663,5.16592,0,1,1,0,0
341781663,5.14336,0,1,1,0,0
342081663,5.13691,0,1,1,0,0
342381712,5.02734,0,1,1,0,0
342681663,5.07891,0,1,1,0,0
342991663,5.1208,0,1,1,0,0
343291663,5.1627,0,1,1,0,0
343591663,5.13853,0,1,1,0,0
343891663,5.1627,0,1,1,0,0
344491679,5.15303,0,1,1,0,0
344791663,5.15303,0,1,1,0,0
345091663,5.14336,0,1,1,0,0
345391663,5.12563,0,1,1,0,0
345691663,5.15303,0,1,1,0,0
346001663,5.13691,0,1,1,0,0
346301663,5.1498,0,1,1,0,0
346601669,5.14014,0,1,1,0,0
346901663,5.09824,0,1,1,0,0
347201663,5.1627,0,1,1,0,0
347501664,5.06602,0,1,1,0,0
347801663,5.15947,0,1,1,0,0
348101712,5.11919,0,1,1,0,0
348401663,5.13691,0,1,1,0,0
348701663,5.17881,0,1,1,0,0
349011663,5.13691,0,1,1,0,0
349311663,5.1498,0,1,1,0,0
349611663,5.1627,0,1,1,0,0
349911702,5.14336,0,1,1,0,0
350211677,5.15303,0,1,1,0,0
350511663,5.12725,0,1,1,0,0
350811663,5.16914,0,1,1,0,0
351111682,5.12725,0,1,1,0,0
351411663,5.14336,0,1,1,0,0
351711663,5.13691,0,1,1,0,0
352021669,5.14658,0,1,1,0,0
