timestamp,alt_max,landed,freefall,ground_contact
326991912,1001.44,1,0,0
327072434,1001.44,1,0,0
327195278,1001.43,1,0,0
327236138,1001.43,1,0,0
327278121,1001.43,1,0,0
327320058,1001.43,1,0,0
327361512,1001.42,1,0,0
327402071,1001.42,1,0,0
327444824,1001.42,1,0,0
327486058,1001.41,1,0,0
327529611,1001.41,1,0,0
327570058,1001.41,1,0,0
327613304,1001.41,1,0,0
327655199,1001.41,1,0,0
327698203,1001.41,1,0,0
327739274,1001.4,1,0,0
327781184,1001.4,1,0,0
327823294,1001.4,1,0,0
327864510,1001.4,1,0,0
327904133,1001.4,1,0,0
327945062,1001.4,1,0,0
327986377,1001.4,1,0,0
328028179,1001.4,1,0,0
328069058,1001.4,1,0,0
328110998,1001.4,1,0,0
328151173,1001.4,1,0,0
328193058,1001.4,1,0,0
328235589,1001.4,1,0,0
328277058,1001.4,1,0,0
328318201,1001.4,1,0,0
328360055,1001.4,1,0,0
328400999,1001.39,1,0,0
328441518,1001.39,1,0,0
328483074,1001.39,1,0,0
328525212,1001.39,1,0,0
328565315,1001.39,1,0,0
328605569,1001.38,1,0,0
328645058,1001.38,1,0,0
328687107,1001.38,1,0,0
328727079,1001.38,1,0,0
328768193,1001.38,1,0,0
328810628,1001.38,1,0,0
328852145,1001.37,1,0,0
328892062,1001.37,1,0,0
328935210,1001.37,1,0,0
328977058,1001.37,1,0,0
329018440,1001.37,1,0,0
329060322,1001.37,1,0,0
329101058,1001.37,1,0,0
329144119,1001.37,1,0,0
329185058,1001.37,1,0,0
329226870,1001.38,1,0,0
329270075,1001.38,1,0,0
329313450,1001.38,1,0,0
329353086,1001.38,1,0,0
329393260,1001.38,1,0,0
329436857,1001.38,1,0,0
329478116,1001.38,1,0,0
329521614,1001.38,1,0,0
329562374,1001.37,1,0,0
329604058,1001.37,1,0,0
329646369,1001.37,1,0,0
329687058,1001.36,1,0,0
329729509,1001.36,1,0,0
329770178,1001.36,1,0,0
329811320,1001.35,1,0,0
329852065,1001.35,1,0,0
329894258,1001.34,1,0,0
329936498,1001.34,1,0,0
329977110,1001.34,1,0,0
330019346,1001.34,1,0,0
330060387,1001.34,1,0,0
330100107,1001.34,1,0,0
330142062,1001.34,1,0,0
330184674,1001.34,1,0,0
330224181,1001.34,1,0,0
330265058,1001.34,1,0,0
330307559,1001.34,1,0,0
330348083,1001.34,1,0,0
330388200,1001.34,1,0,0
330430069,1001.34,1,0,0
330473752,1001.34,1,0,0
330515058,1001.34,1,0,0
330557317,1001.33,1,0,0
330597183,1001.33,1,0,0
330638212,1001.33,1,0,0
330679272,1001.33,1,0,0
330721565,1001.33,1,0,0
330762599,1001.32,1,0,0
330803058,1001.32,1,0,0
330845996,1001.32,1,0,0
330886714,1001.32,1,0,0
330927942,1001.32,1,0,0
330968058,1001.32,1,0,0
331011167,1001.32,1,0,0
331073069,1001.32,1,0,0
331116059,1001.32,1,0,0
331157058,1001.32,1,0,0
331199350,1001.32,1,0,0
331240203,1001.32,1,0,0
331302258,1001.32,1,0,0
331344238,1001.32,1,0,0
331386237,1001.32,1,0,0
331428964,1001.32,1,0,0
331469446,1001.32,1,0,0
331511065,1001.32,1,0,0
331553470,1001.32,1,0,0
331594230,1001.32,1,0,0
331635674,1001.32,1,0,0
331677058,1001.32,1,0,0
331719375,1001.32,1,0,0
331759342,1001.32,1,0,0
331799545,1001.32,1,0,0
331840058,1001.32,1,0,0
331881097,1001.32,1,0,0
331922727,1001.32,1,0,0
331963706,1001.32,1,0,0
332003314,1001.32,1,0,0
332044152,1001.33,1,0,0
332087278,1001.32,1,0,0
332129058,1001.32,1,0,0
332170277,1001.32,1,0,0
332212587,1001.32,1,0,0
332252660,1001.31,1,0,0
332296191,1001.31,1,0,0
332336069,1001.3,1,0,0
332377058,1001.3,1,0,0
332419980,1001.3,1,0,0
332460104,1001.29,1,0,0
332500408,1001.29,1,0,0
332540760,1001.28,1,0,0
332582636,1001.27,1,0,0
332623058,1001.27,1,0,0
332664434,1001.25,1,0,0
332706408,1001.24,1,0,0
332748058,1001.22,1,0,0
332790869,1001.19,1,0,0
332830530,1001.17,1,0,0
332870294,1001.14,1,0,0
332910365,1001.12,1,0,0
332950905,1001.09,1,0,0
332991065,1001.06,1,0,0
333031347,1001.03,1,0,0
333071422,1001.0,1,0,0
333111222,1000.96,1,0,0
333153058,1000.93,1,0,0
333197058,1000.9,1,0,0
333238069,1000.87,1,0,0
333279189,1000.84,1,0,0
333321193,1000.81,1,0,0
333362058,1000.79,1,0,0
333403215,1000.77,1,0,0
333444193,1000.75,1,0,0
333485058,1000.73,1,0,0
333525166,1000.72,1,0,0
333566240,1000.71,1,0,0
333609905,1000.7,1,0,0
333649845,1000.69,1,0,0
333691099,1000.68,1,0,0
333733124,1000.68,1,0,0
333773482,1000.67,1,0,0
333814553,1000.66,1,0,0
333857534,1000.66,1,0,0
333897276,1000.66,1,0,0
333939548,1000.65,1,0,0
333980145,1000.65,1,0,0
334021193,1000.65,1,0,0
334063094,1000.65,1,0,0
334105071,1000.65,1,0,0
334146373,1000.65,1,0,0
334187502,1000.66,1,0,0
334228266,1000.65,1,0,0
334269149,1000.65,1,0,0
334311161,1000.66,1,0,0
334351274,1000.66,1,0,0
334392299,1000.66,1,0,0
334432230,1000.67,1,0,0
334473383,1000.67,1,0,0
334517026,1000.68,1,0,0
334558060,1000.68,1,0,0
334600156,1000.69,1,0,0
334640285,1000.7,1,0,0
334682070,1000.71,1,0,0
334725138,1000.72,1,0,0
334768637,1000.73,1,0,0
334808263,1000.73,1,0,0
334849579,1000.74,1,0,0
334891058,1000.75,1,0,0
334932058,1000.76,1,0,0
334974106,1000.77,1,0,0
335015259,1000.78,1,0,0
335056173,1000.78,1,0,0
335099055,1000.79,1,0,0
335140069,1000.8,1,0,0
335183200,1000.81,1,0,0
335224058,1000.82,1,0,0
335266067,1000.83,1,0,0
335307198,1000.85,1,0,0
335348278,1000.86,1,0,0
335391405,1000.88,1,0,0
335432507,1000.9,1,0,0
335473770,1000.91,1,0,0
335515333,1000.93,1,0,0
335556209,1000.95,1,0,0
335597175,1000.96,1,0,0
335638135,1000.98,1,0,0
335679128,1001.01,1,0,0
335721058,1001.04,1,0,0
335762058,1001.07,1,0,0
335802076,1001.09,1,0,0
335843068,1001.1,1,0,0
335885888,1001.11,1,0,0
335926058,1001.1,1,0,0
335966057,1001.1,1,0,0
336007082,1001.1,1,0,0
336049272,1001.11,1,0,0
336090545,1001.12,1,0,0
336133100,1001.14,1,0,0
336175263,1001.17,1,0,0
336216284,1001.2,1,0,0
336257060,1001.21,1,0,0
336297058,1001.22,1,0,0
336339990,1001.21,1,0,0
336381058,1001.2,1,0,0
336423230,1001.2,1,0,0
336464257,1001.2,1,0,0
336505058,1001.21,1,0,0
336546458,1001.21,1,0,0
336587366,1001.22,1,0,0
336628183,1001.24,1,0,0
336670265,1001.25,1,0,0
336713528,1001.28,1,0,0
336757082,1001.29,1,0,0
336801435,1001.3,1,0,0
336842058,1001.29,1,0,0
336885064,1001.28,1,0,0
336928228,1001.28,1,0,0
336968085,1001.28,1,0,0
337010218,1001.29,1,0,0
337053093,1001.3,1,0,0
337095945,1001.31,1,0,0
337135295,1001.32,1,0,0
337176094,1001.33,1,0,0
337218034,1001.35,1,0,0
337259418,1001.36,1,0,0
337301945,1001.36,1,0,0
337343379,1001.37,1,0,0
337383134,1001.38,1,0,0
337424068,1001.39,1,0,0
337466111,1001.4,1,0,0
337508065,1001.41,1,0,0
337550065,1001.42,1,0,0
337591206,1001.43,1,0,0
337632163,1001.44,1,0,0
337674058,1001.45,1,0,0
337717074,1001.46,1,0,0
337760282,1001.47,1,0,0
337800247,1001.48,1,0,0
337842058,1001.49,1,0,0
337883241,1001.5,1,0,0
337924149,1001.51,1,0,0
337965184,1001.52,1,0,0
338006290,1001.53,1,0,0
338047067,1001.53,1,0,0
338089267,1001.54,1,0,0
338131079,1001.55,1,0,0
338174106,1001.55,1,0,0
338217601,1001.56,1,0,0
338257272,1001.56,1,0,0
338299115,1001.57,1,0,0
338341167,1001.57,1,0,0
338381059,1001.57,1,0,0
338422091,1001.58,1,0,0
338463375,1001.58,1,0,0
338504065,1001.58,1,0,0
338544069,1001.58,1,0,0
338585076,1001.59,1,0,0
338627014,1001.59,1,0,0
338668291,1001.59,1,0,0
338708226,1001.59,1,0,0
338749069,1001.59,1,0,0
338791306,1001.59,1,0,0
338851121,1001.59,1,0,0
338893075,1001.59,1,0,0
338937121,1001.6,1,0,0
338980461,1001.61,1,0,0
339020219,1001.61,1,0,0
339062695,1001.61,1,0,0
339104716,1001.61,1,0,0
339145319,1001.62,1,0,0
339188630,1001.62,1,0,0
339229058,1001.63,1,0,0
339272405,1001.63,1,0,0
339312436,1001.63,1,0,0
339353112,1001.64,1,0,0
339394724,1001.64,1,0,0
339435503,1001.65,1,0,0
339476058,1001.65,1,0,0
339519163,1001.66,1,0,0
339561560,1001.66,1,0,0
339603069,1001.66,1,0,0
339643065,1001.67,1,0,0
339684060,1001.67,1,0,0
339725674,1001.68,1,0,0
339766480,1001.68,1,0,0
339808058,1001.69,1,0,0
339851172,1001.69,1,0,0
339891519,1001.69,1,0,0
339931235,1001.7,1,0,0
339972150,1001.7,1,0,0
340012474,1001.7,1,0,0
340053246,1001.71,1,0,0
340094268,1001.71,1,0,0
340135060,1001.71,1,0,0
340176088,1001.71,1,0,0
340218446,1001.71,1,0,0
340259073,1001.71,1,0,0
340301597,1001.71,1,0,0
340343058,1001.72,1,0,0
340384075,1001.72,1,0,0
340426243,1001.73,1,0,0
340466058,1001.73,1,0,0
340508191,1001.74,1,0,0
340551066,1001.74,1,0,0
340592324,1001.75,1,0,0
340632210,1001.75,1,0,0
340672058,1001.76,1,0,0
340714096,1001.76,1,0,0
340757058,1001.76,1,0,0
340800058,1001.75,1,0,0
340841058,1001.75,1,0,0
340882058,1001.75,1,0,0
340924444,1001.74,1,0,0
340964450,1001.74,1,0,0
341004411,1001.74,1,0,0
341045154,1001.73,1,0,0
341087075,1001.73,1,0,0
341129056,1001.73,1,0,0
341193998,1001.73,1,0,0
341235382,1001.73,1,0,0
341277746,1001.73,1,0,0
341319243,1001.73,1,0,0
341361216,1001.71,1,0,0
341403204,1001.68,1,0,0
341445272,1001.65,1,0,0
341487335,1001.62,1,0,0
341528060,1001.59,1,0,0
341571305,1001.56,1,0,0
341612154,1001.54,1,0,0
341653061,1001.53,1,0,0
341695300,1001.52,0,0,0
341736264,1001.52,0,0,0
341777058,1001.54,0,0,0
341818532,1001.58,0,0,0
341858585,1001.65,0,0,0
341899374,1001.74,0,0,0
341940088,1001.83,0,0,0
341981036,1001.92,0,0,0
342023972,1002.03,0,0,0
342064096,1002.13,0,0,0
342105468,1002.25,0,0,0
342145165,1002.38,0,0,0
342188969,1002.52,0,0,0
342228061,1002.65,0,0,0
342270252,1002.79,0,0,0
342313858,1002.94,0,0,0
342354070,1003.09,0,0,0
342397869,1003.26,0,0,0
342439204,1003.42,0,0,0
342480058,1003.56,0,0,0
342520135,1003.7,0,0,0
342562384,1003.86,0,0,0
342602326,1004.01,0,0,0
342643065,1004.14,0,0,0
342686292,1004.27,0,0,0
342728330,1004.39,0,0,0
342770439,1004.51,0,0,0
342810662,1004.62,0,0,0
342850466,1004.7,0,0,0
342893825,1004.78,0,0,0
342935319,1004.88,0,0,0
342977904,1004.96,0,0,0
343017624,1005.03,0,0,0
343060147,1005.13,0,0,0
343106123,1005.24,0,0,0
343150112,1005.36,0,0,0
343196177,1005.5,0,0,0
343238058,1005.63,0,0,0
343282058,1005.78,0,0,0
343326583,1005.95,0,0,0
343370314,1006.13,0,0,0
343418639,1006.32,0,0,0
343460255,1006.51,0,0,0
343500230,1006.69,0,0,0
343541058,1006.87,0,0,0
343581058,1007.05,0,0,0
343624489,1007.25,0,0,0
343665058,1007.43,0,0,0
343708096,1007.63,0,0,0
343748273,1007.8,0,0,0
343790766,1007.97,0,0,0
343830364,1008.13,0,0,0
343878462,1008.34,0,0,0
343920764,1008.52,0,0,0
343961144,1008.68,0,0,0
344003069,1008.82,0,0,0
344043157,1008.96,0,0,0
344084986,1009.12,0,0,0
344125513,1009.25,0,0,0
344167139,1009.39,0,0,0
344249909,1009.69,0,0,0
344289172,1009.84,0,0,0
344330107,1009.98,0,0,0
344371243,1010.11,0,0,0
344414058,1010.26,0,0,0
344456755,1010.4,0,0,0
344497698,1010.52,0,0,0
344539198,1010.65,0,0,0
344580250,1010.77,0,0,0
344624309,1010.9,0,0,0
344664058,1011.02,0,0,0
344706058,1011.15,0,0,0
344748058,1011.27,0,0,0
344788058,1011.38,0,0,0
344830319,1011.51,0,0,0
344870320,1011.63,0,0,0
344911997,1011.75,0,0,0
344953621,1011.89,0,0,0
344995058,1012.01,0,0,0
345035199,1012.14,0,0,0
345077602,1012.29,0,0,0
345119075,1012.43,0,0,0
345161215,1012.57,0,0,0
345202058,1012.7,0,0,0
345243668,1012.85,0,0,0
345289697,1013.0,0,0,0
345331631,1013.14,0,0,0
345373086,1013.28,0,0,0
345415313,1013.42,0,0,0
345457058,1013.55,0,0,0
345497058,1013.69,0,0,0
345538060,1013.83,0,0,0
345580058,1013.99,0,0,0
345621088,1014.13,0,0,0
345663065,1014.28,0,0,0
345704934,1014.44,0,0,0
345745544,1014.59,0,0,0
345785890,1014.74,0,0,0
345827261,1014.89,0,0,0
345869613,1015.08,0,0,0
345909522,1015.26,0,0,0
345951099,1015.44,0,0,0
345993094,1015.64,0,0,0
346034065,1015.83,0,0,0
346077075,1016.05,0,0,0
346117938,1016.24,0,0,0
346158235,1016.44,0,0,0
346198218,1016.63,0,0,0
346240153,1016.82,0,0,0
346282559,1017.02,0,0,0
346323058,1017.21,0,0,0
346365580,1017.4,0,0,0
346407071,1017.58,0,0,0
346450554,1017.77,0,0,0
346491065,1017.94,0,0,0
346532058,1018.11,0,0,0
346573866,1018.29,0,0,0
346614890,1018.46,0,0,0
346655068,1018.63,0,0,0
346697608,1018.82,0,0,0
346737166,1018.99,0,0,0
346778058,1019.16,0,0,0
346820060,1019.35,0,0,0
346861188,1019.52,0,0,0
346904079,1019.71,0,0,0
346945058,1019.88,0,0,0
