timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence,differential_pressure_filtered_pa
328167929,0.0,0.0,0.0,23.5125,1.0,-3.70004
328178861,0.0,0.0,0.0,23.4268,1.0,-3.66642
328191580,0.0,0.0,0.733608,23.4954,1.0,-3.62943
328203038,0.0,0.0,0.0,23.4353,1.0,-3.58762
328214854,0.0,0.0,0.0,23.4496,1.0,-3.54536
328227129,0.0,0.0,0.449207,23.4496,1.0,-3.5018
328239089,0.0,0.0,0.0,23.4468,1.0,-3.44764
328251324,0.0,0.0,0.0,23.4353,1.0,-3.38594
328263008,0.0,0.0,0.0,23.4725,1.0,-3.3252
328274889,0.0,0.0,1.28639,23.4611,1.0,-3.26054
328287193,0.0,0.0,2.04867,23.4382,1.0,-3.1808
328298562,0.0,0.0,0.0,23.4253,1.0,-3.08634
328308679,0.0,0.0,0.0,23.4439,1.0,-2.99347
328318705,0.0,0.0,0.0,23.4411,1.0,-2.91886
328332858,0.0,0.0,0.0,23.4382,1.0,-2.86434
328345834,0.0,0.0,0.0,23.4468,1.0,-2.82532
328356651,0.0,0.0,0.0,23.4411,1.0,-2.79962
328366562,0.0,0.0,0.0,23.4668,1.0,-2.78375
328376694,0.0,0.0,0.0,23.4797,1.0,-2.77811
328388463,0.0,0.0,0.0,23.4868,1.0,-2.78726
328400750,0.0,0.0,0.0,23.4396,1.0,-2.81163
328413446,0.0,0.0,0.0,23.4611,1.0,-2.84753
328424453,0.0,0.0,0.0,23.4439,1.0,-2.88863
328437273,0.0,0.0,0.0,23.4439,1.0,-2.93687
328447566,0.0,0.0,0.0,23.4554,1.0,-2.99893
328459538,0.0,0.0,0.0,23.4339,1.0,-3.07151
328475069,0.0,0.0,0.0,23.4353,1.0,-3.15187
328487231,0.0,0.0,0.0,23.4554,1.0,-3.24291
328498811,0.0,0.0,0.0,23.4582,1.0,-3.34008
328509894,0.0,0.0,0.0,23.4596,1.0,-3.42964
328521655,0.0,0.0,0.0,23.4611,1.0,-3.50407
328531577,0.0,0.0,0.0,23.4382,1.0,-3.56632
328543661,0.0,0.0,0.0,23.4353,1.0,-3.62197
328555529,0.0,0.0,0.0,23.4468,1.0,-3.66881
328567536,0.0,0.0,0.0,23.4268,1.0,-3.70323
328582801,0.0,0.0,0.0,23.4754,1.0,-3.73141
328594574,0.0,0.0,0.0,23.4668,1.0,-3.75414
328606072,0.0,0.0,0.0,23.4611,1.0,-3.76649
328618901,0.0,0.0,0.0,23.4725,1.0,-3.77452
328631379,0.0,0.0,0.0,23.4668,1.0,-3.78461
328643113,0.0,0.0,0.0,23.4182,1.0,-3.7942
328655716,0.0,0.0,0.0,23.4496,1.0,-3.80325
328667550,0.0,0.0,0.0,23.4725,1.0,-3.80809
328678644,0.0,0.0,0.0,23.4554,1.0,-3.8032
328690464,0.0,0.0,0.0,23.4439,1.0,-3.79184
328702770,0.0,0.0,0.0,23.4268,1.0,-3.78323
328714475,0.0,0.0,0.0,23.4411,1.0,-3.78306
328726728,0.0,0.0,0.0,23.4496,1.0,-3.78568
328739306,0.0,0.0,0.0,23.4439,1.0,-3.78824
328750866,0.0,0.0,0.0,23.4439,1.0,-3.7967
328763256,0.0,0.0,0.0,23.4496,1.0,-3.81325
328775893,0.0,0.0,0.0,23.4496,1.0,-3.83301
328787128,0.0,0.0,0.0,23.4382,1.0,-3.85045
328798843,0.0,0.0,0.0,23.4339,1.0,-3.86129
328811336,0.0,0.0,0.0,23.4782,1.0,-3.86658
328822988,0.0,0.0,0.0,23.4811,1.0,-3.87242
328835236,0.0,0.0,0.0,23.4954,1.0,-3.87521
328847316,0.0,0.0,0.0,23.5354,1.0,-3.86819
328860003,0.0,0.0,2.32591,23.534,1.0,-3.8446
328871968,0.0,0.0,0.836518,23.5254,1.0,-3.79635
328883797,0.0,0.0,1.28642,23.4611,1.0,-3.72586
328895607,0.0,0.0,0.0,23.4353,1.0,-3.64477
328906704,0.0,0.0,0.0,23.4611,1.0,-3.56775
328916601,0.0,0.0,0.0,23.4439,1.0,-3.50388
328927424,0.0,0.0,0.0,23.4325,1.0,-3.45416
328938843,0.0,0.0,0.0,23.4439,1.0,-3.42168
328951450,0.0,0.0,0.0,23.4353,1.0,-3.40882
328963708,0.0,0.0,0.0,23.4439,1.0,-3.41341
328975536,0.0,0.0,0.0,23.4611,1.0,-3.4311
328986988,0.0,0.0,0.0,23.4382,1.0,-3.44715
328998915,0.0,0.0,2.00558,23.4368,1.0,-3.44473
329011095,0.0,0.0,0.0,23.4296,1.0,-3.42047
329023331,0.0,0.0,0.0,23.4582,1.0,-3.38394
329034770,0.0,0.0,0.0,23.4554,1.0,-3.34469
329044788,0.0,0.0,0.0,23.4439,1.0,-3.30208
329056631,0.0,0.0,1.4252,23.4211,1.0,-3.24871
329066696,0.0,0.0,0.0,23.4268,1.0,-3.18252
329080747,0.0,0.0,0.0,23.4268,1.0,-3.11057
329093746,0.0,0.0,0.0,23.4439,1.0,-3.03581
329104971,0.0,0.0,0.0,23.4468,1.0,-2.95526
329116707,0.0,0.0,0.0,23.4325,1.0,-2.86909
329128934,0.0,0.0,0.0,23.4611,1.0,-2.78232
329140913,0.0,0.0,0.0,23.4725,1.0,-2.69861
329154270,0.0,0.0,1.05034,23.4568,1.0,-2.61457
329164731,0.0,0.0,0.0,23.4525,1.0,-2.52885
329178207,0.0,0.0,0.44922,23.4496,1.0,-2.44475
329188923,0.0,0.0,1.48088,23.4654,1.0,-2.35774
329201414,0.0,0.0,0.0,23.4425,1.0,-2.26376
329213406,0.0,0.0,1.28638,23.4611,1.0,-2.16516
329226295,0.0,0.0,0.0,23.4382,1.0,-2.06378
329236596,0.0,0.0,0.44922,23.4496,1.0,-1.96201
329250209,0.0,0.0,0.0,23.4668,1.0,-1.86299
329260607,0.0,0.0,1.5388,23.4668,1.0,-1.76672
329270577,0.0,0.0,0.0,23.4211,1.0,-1.67626
329280769,0.0,0.0,0.0,23.4496,1.0,-1.60199
329294207,0.0,0.0,0.0,23.4496,1.0,-1.5458
329305543,0.0,0.0,0.0,23.4725,1.0,-1.50107
329316573,0.0,0.0,0.0,23.4639,1.0,-1.46322
329326562,0.0,0.0,0.0,23.4725,1.0,-1.43034
329337590,0.0,0.0,0.449225,23.4496,1.0,-1.39926
329348517,0.0,0.0,0.0,23.4311,1.0,-1.36696
329361406,0.0,0.0,0.0,23.4268,1.0,-1.3401
329372760,0.0,0.0,0.0,23.4439,1.0,-1.32351
329384890,0.0,0.0,0.449218,23.4496,1.0,-1.30847
329396657,0.0,0.0,2.13553,23.4411,1.0,-1.28439
329408805,0.0,0.0,0.0,23.4339,1.0,-1.24992
329420733,0.0,0.0,0.0,23.4325,1.0,-1.21293
329432862,0.0,0.0,0.0,23.4268,1.0,-1.1797
329446008,0.0,0.0,0.0,23.4325,1.0,-1.15073
329457777,0.0,0.0,0.0,23.4239,1.0,-1.12603
329470506,0.0,0.0,0.449227,23.4496,1.0,-1.10389
329481529,0.0,0.0,0.0,23.4611,1.0,-1.08306
329492858,0.0,0.0,0.0,23.4754,1.0,-1.06581
329505047,0.0,0.0,0.0,23.4554,1.0,-1.05416
329517756,0.0,0.0,0.0,23.4582,1.0,-1.04986
329527702,0.0,0.0,0.0,23.4468,1.0,-1.05758
329538704,0.0,0.0,0.0,23.4239,1.0,-1.07887
329550208,0.0,0.0,0.0,23.4411,1.0,-1.11195
329562090,0.0,0.0,0.0,23.4382,1.0,-1.15885
329574988,0.0,0.0,0.0,23.4582,1.0,-1.21624
329586695,0.0,0.0,0.0,23.4839,1.0,-1.28079
329599361,0.0,0.0,0.0,23.4611,1.0,-1.35371
329610839,0.0,0.0,0.0,23.4239,1.0,-1.43232
329623285,0.0,0.0,0.0,23.4196,1.0,-1.51856
329635394,0.0,0.0,0.0,23.4211,1.0,-1.61131
329646893,0.0,0.0,0.0,23.4268,1.0,-1.70473
329658542,0.0,0.0,0.0,23.4468,1.0,-1.795
329670550,0.0,0.0,0.0,23.4439,1.0,-1.87772
329682386,0.0,0.0,0.0,23.4525,1.0,-1.9552
329694300,0.0,0.0,0.0,23.4525,1.0,-2.03323
329706374,0.0,0.0,0.0,23.4668,1.0,-2.11191
329718187,0.0,0.0,0.0,23.4382,1.0,-2.18792
329730008,0.0,0.0,0.0,23.4425,1.0,-2.2621
329742539,0.0,0.0,0.0,23.4353,1.0,-2.3369
329754087,0.0,0.0,0.0,23.4353,1.0,-2.41286
329767683,0.0,0.0,0.0,23.4439,1.0,-2.48931
329779110,0.0,0.0,0.0,23.4382,1.0,-2.56464
329791262,0.0,0.0,0.0,23.4296,1.0,-2.64255
329802789,0.0,0.0,0.0,23.4496,1.0,-2.7283
329814846,0.0,0.0,0.0,23.4296,1.0,-2.83086
329826597,0.0,0.0,0.0,23.4382,1.0,-2.95479
329838049,0.0,0.0,0.0,23.4268,1.0,-3.08448
329850368,0.0,0.0,2.00557,23.4368,1.0,-3.1992
329861808,0.0,0.0,0.0,23.4211,1.0,-3.28778
329874446,0.0,0.0,0.0,23.4211,1.0,-3.35451
329887120,0.0,0.0,0.0,23.4268,1.0,-3.41074
329898781,0.0,0.0,0.0,23.4425,1.0,-3.46306
329911276,0.0,0.0,0.0,23.4325,1.0,-3.5089
329922552,0.0,0.0,1.13645,23.4582,1.0,-3.53803
329934383,0.0,0.0,0.0,23.4668,1.0,-3.55414
329946117,0.0,0.0,0.0,23.4639,1.0,-3.57011
329958463,0.0,0.0,2.04225,23.4811,1.0,-3.5768
329969806,0.0,0.0,0.0,23.4496,1.0,-3.56376
329980608,0.0,0.0,0.0,23.4439,1.0,-3.53813
329991969,0.0,0.0,0.0,23.4325,1.0,-3.5067
330004964,0.0,0.0,0.0,23.4668,1.0,-3.47392
330016675,0.0,0.0,0.0,23.4725,1.0,-3.43814
330028758,0.0,0.0,0.0,23.4668,1.0,-3.39591
330039981,0.0,0.0,0.0,23.4496,1.0,-3.35035
330051650,0.0,0.0,0.0,23.4496,1.0,-3.30602
330063900,0.0,0.0,0.0,23.4325,1.0,-3.26215
330075365,0.0,0.0,0.449214,23.4496,1.0,-3.21213
330087364,0.0,0.0,0.0,23.4568,1.0,-3.15443
330100661,0.0,0.0,0.751674,23.4525,1.0,-3.09173
330111726,0.0,0.0,0.0,23.4725,1.0,-3.02302
330124806,0.0,0.0,1.99901,23.4797,1.0,-2.94506
