timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
345999896,11.6358,11.5687,11.78,14.3209,35.1318,0.991027,1.00012,3,1,0
346300777,11.6604,11.5882,11.8668,13.3394,36.1228,0.990619,1.00007,3,1,0
346600818,11.5866,11.5982,11.718,12.7211,37.1047,0.990236,1.00002,3,1,0
346902343,11.5538,11.5882,11.4576,12.3149,38.0848,0.989872,1.00116,3,1,0
347204031,11.5784,11.6091,11.47,12.1087,39.0728,0.989522,1.00003,3,1,0
347503937,10.9552,11.5943,11.5568,11.8992,40.0379,0.989185,1.0017,3,1,0
347805522,11.6768,11.6049,11.8668,11.8713,41.0285,0.988856,1.00086,3,1,0
348105587,11.48,11.62,11.47,11.7944,42.0027,0.988534,1.00016,3,1,0
348407182,11.5702,11.6345,11.0608,11.743,42.982,0.988218,1.00004,3,1,0
348708725,11.9474,11.6426,11.9536,11.6978,43.9553,0.987907,1.0,3,1,0
349008801,11.5784,11.6495,11.9536,11.6795,44.9265,0.987599,1.00003,3,1,0
349310293,10.8978,11.6244,11.1848,11.7184,45.9136,0.987294,1.00166,3,1,0
349611156,11.644,11.6243,11.3708,11.7567,46.9023,0.98699,1.00116,3,1,0
349911105,11.8818,11.6251,11.6808,11.7251,47.8759,0.986687,1.00069,3,1,0
350213009,11.6194,11.6304,11.6188,11.675,48.8481,0.986387,1.00011,3,1,0
350512820,11.6522,11.6339,11.6312,11.6528,49.8156,0.986088,1.0,3,1,0
350814310,11.7424,11.6367,11.284,11.6091,50.7835,0.985789,1.00004,3,1,0
351115939,11.5292,11.6293,11.3584,11.7076,51.7772,0.985492,1.0003,3,1,0
351415934,11.6112,11.64,11.4576,11.6724,52.7468,0.985194,1.0,3,1,0
351717527,11.5866,11.6432,11.9536,11.7215,53.7339,0.984896,1.00019,3,1,0
352017496,11.7014,11.6537,11.2716,11.6789,54.7021,0.984599,1.0,3,1,0
352319102,11.644,11.6474,11.408,11.6351,55.6735,0.984303,1.00122,3,1,0
352620835,11.7752,11.6369,11.8668,11.6318,56.6475,0.984007,1.00124,3,1,0
352920693,11.5456,11.6416,11.6312,11.5697,57.6034,0.983712,1.00021,3,1,0
353222389,11.562,11.6523,11.2592,11.5305,58.5653,0.983417,1.00004,3,1,0
353523967,11.5046,11.648,11.2716,11.4752,59.5199,0.983124,1.00009,3,1,0
353823974,11.6686,11.653,11.4948,11.4857,60.4774,0.982832,1.0,3,1,0
354125581,11.7424,11.6606,11.8296,11.4892,61.4407,0.98254,1.0,3,1,0
354426371,11.5948,11.6604,11.3088,11.4707,62.3969,0.982248,1.00004,3,1,0
354726302,11.5538,11.6582,11.5816,11.4378,63.3447,0.981957,1.0001,3,1,0
355027255,11.6112,11.6514,11.6312,11.4396,64.3015,0.981666,1.00008,3,1,0
355327104,10.947,11.6142,11.098,11.4238,65.254,0.981376,1.00247,3,1,0
355627318,11.6276,11.608,11.4328,11.4588,66.2139,0.981085,1.00247,3,1,0
356831980,11.5784,11.6177,11.3584,11.343,70.0077,0.979928,1.00061,3,1,0
357133497,11.6194,11.6274,11.3088,11.3479,70.9596,0.97964,1.00024,3,1,0
357433524,11.8162,11.6304,11.8048,11.4119,71.9176,0.979351,1.00001,3,1,0
357735123,11.644,11.6181,11.5816,11.4471,72.8816,0.979062,1.00083,3,1,0
358035446,11.5538,11.6271,11.3584,11.3649,73.8207,0.978773,1.00005,3,1,0
358336677,11.7506,11.6432,11.284,11.364,74.7725,0.978484,1.0,3,1,0
358638327,11.726,11.6559,11.1476,11.4204,75.7366,0.978195,1.0,3,1,0
358938328,11.5784,11.6442,11.4452,11.4671,76.6973,0.977906,1.00111,3,1,0
359239922,11.6768,11.635,11.6932,11.4857,77.6619,0.977616,1.00111,3,1,0
359541563,11.7096,11.6365,11.3212,11.4875,78.6243,0.977326,1.0004,3,1,0
359841538,11.6276,11.6383,11.1352,11.5456,79.5955,0.977034,1.0,3,1,0
