timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
327956183,327956183,18,255,0,0,0,1494,1494,982,2006,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
327975789,327975789,18,255,0,0,0,1494,1492,982,1990,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
327996728,327996728,18,255,0,0,0,1494,1494,982,1925,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328020607,328020607,18,255,0,0,0,1494,1492,982,1878,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328044622,328044622,18,255,0,0,0,1494,1492,982,1828,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328066294,328066294,18,255,0,0,0,1494,1494,982,1771,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328084878,328084878,18,255,0,0,0,1494,1492,982,1658,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328108625,328108625,18,255,0,0,0,1494,1492,982,1600,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328132735,328132735,18,255,0,0,0,1494,1494,982,1540,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328155805,328155805,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328179512,328179512,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328199668,328199668,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328223825,328223825,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328247603,328247603,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328267660,328267660,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328292793,328292793,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328313266,328313266,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328337175,328337175,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328357275,328357275,18,255,0,0,0,1492,1494,982,1494,1492,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328381870,328381870,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328405386,328405386,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328429290,328429290,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328449974,328449974,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328474225,328474225,18,255,0,0,0,1493,1494,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328498777,328498777,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328518907,328518907,18,255,0,0,0,1494,1492,982,1495,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328542078,328542078,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328563252,328563252,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328586245,328586245,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328606799,328606799,18,255,0,0,0,1493,1494,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328628231,328628231,18,255,0,0,0,1493,1492,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328650322,328650322,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328671822,328671822,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328695582,328695582,18,255,0,0,0,1493,1492,982,1495,1493,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328715628,328715628,18,255,0,0,0,1493,1492,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328740127,328740127,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328760461,328760461,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328784548,328784548,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328809316,328809316,18,255,0,0,0,1494,1494,982,1494,1494,1497,1497,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328831975,328831975,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328855678,328855678,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328881072,328881072,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328900605,328900605,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328924396,328924396,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328947573,328947573,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328967673,328967673,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
328991632,328991632,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329011746,329011746,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329035805,329035805,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329057260,329057260,18,255,0,0,0,1493,1494,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329081386,329081386,18,255,0,0,0,1493,1494,982,1494,1493,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329105171,329105171,18,255,0,0,0,1494,1492,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329125178,329125178,18,255,0,0,0,1494,1494,982,1494,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329149179,329149179,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329169996,329169996,18,255,0,0,0,1494,1492,982,1495,1494,1495,1495,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329194003,329194003,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329217865,329217865,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329242055,329242055,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329265414,329265414,18,255,0,0,0,1494,1494,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
329289228,329289228,18,255,0,0,0,1494,1492,982,1494,1494,1496,1496,982,982,982,982,1494,1494,1494,1494,1494,998,998,0,0,4
